# filename	../testdata/sw175.fna
# sequences_number	175
# sequences_number_bits	8
# sequences_minimum_length	23
# sequences_maximum_length	2249
# sequences_length_bits	12
# sequences_total_length	55318
# occurrence	0	5161
# occurrence	1	674
# occurrence	2	3311
# occurrence	3	4321
# occurrence	4	1685
# occurrence	5	3776
# occurrence	6	974
# occurrence	7	2676
# occurrence	8	3030
# occurrence	9	4920
# occurrence	10	1321
# occurrence	11	2516
# occurrence	12	1927
# occurrence	13	2392
# occurrence	14	3102
# occurrence	15	3964
# occurrence	16	3418
# occurrence	17	3466
# occurrence	18	731
# occurrence	19	1953
